index,Price [$/MWh]
10/02/17 14:15,291.01
10/02/17 14:20,291.01
10/02/17 14:25,291.01
10/02/17 14:30,258.14
10/02/17 14:35,258.14
10/02/17 14:40,258.14
10/02/17 14:45,258.14
10/02/17 14:50,258.14
10/02/17 14:55,258.14
10/02/17 15:00,2112.8
10/02/17 15:05,2112.8
10/02/17 15:10,2112.8
10/02/17 15:15,2112.8
10/02/17 15:20,2112.8
10/02/17 15:25,2112.8
10/02/17 15:30,1945.88
10/02/17 15:35,1945.88
10/02/17 15:40,1945.88
10/02/17 15:45,1945.88
10/02/17 15:50,1945.88
10/02/17 15:55,1945.88
10/02/17 16:00,1389.91
10/02/17 16:05,1389.91
10/02/17 16:10,1389.91
10/02/17 16:15,1389.91
10/02/17 16:20,1389.91
10/02/17 16:25,1389.91
10/02/17 16:30,442.32
10/02/17 16:35,442.32
10/02/17 16:40,442.32
10/02/17 16:45,442.32
10/02/17 16:50,442.32
10/02/17 16:55,442.32
10/02/17 17:00,358.8
10/02/17 17:05,358.8
10/02/17 17:10,358.8
10/02/17 17:15,358.8
10/02/17 17:20,358.8
10/02/17 17:25,358.8
10/02/17 17:30,1998.64
10/02/17 17:35,1998.64
10/02/17 17:40,1998.64
10/02/17 17:45,1998.64
10/02/17 17:50,1998.64
10/02/17 17:55,1998.64
10/02/17 18:00,398.14
10/02/17 18:05,398.14
10/02/17 18:10,398.14
10/02/17 18:15,398.14
10/02/17 18:20,398.14
10/02/17 18:25,398.14
10/02/17 18:30,333.83
10/02/17 18:35,333.83
10/02/17 18:40,333.83
10/02/17 18:45,333.83
10/02/17 18:50,333.83
10/02/17 18:55,333.83
10/02/17 19:00,284.36
10/02/17 19:05,284.36
10/02/17 19:10,284.36
10/02/17 19:15,284.36
10/02/17 19:20,284.36
10/02/17 19:25,284.36
10/02/17 19:30,300.29
10/02/17 19:35,300.29
10/02/17 19:40,300.29
10/02/17 19:45,300.29
10/02/17 19:50,300.29
10/02/17 19:55,300.29
10/02/17 20:00,268.5
10/02/17 20:05,268.5
10/02/17 20:10,268.5
10/02/17 20:15,268.5
10/02/17 20:20,268.5
10/02/17 20:25,268.5
10/02/17 20:30,271.31
10/02/17 20:35,271.31
10/02/17 20:40,271.31
10/02/17 20:45,271.31
10/02/17 20:50,271.31
10/02/17 20:55,271.31
10/02/17 21:00,303.19
10/02/17 21:05,303.19
10/02/17 21:10,303.19
10/02/17 21:15,303.19
10/02/17 21:20,303.19
10/02/17 21:25,303.19
10/02/17 21:30,220.17
10/02/17 21:35,220.17
10/02/17 21:40,220.17
10/02/17 21:45,220.17
10/02/17 21:50,220.17
10/02/17 21:55,220.17
10/02/17 22:00,320.36
10/02/17 22:05,320.36
10/02/17 22:10,320.36
10/02/17 22:15,320.36
10/02/17 22:20,320.36
10/02/17 22:25,320.36
10/02/17 22:30,252.09
10/02/17 22:35,252.09
10/02/17 22:40,252.09
10/02/17 22:45,252.09
10/02/17 22:50,252.09
10/02/17 22:55,252.09
10/02/17 23:00,196.34
10/02/17 23:05,196.34
10/02/17 23:10,196.34
10/02/17 23:15,196.34
10/02/17 23:20,196.34
10/02/17 23:25,196.34
10/02/17 23:30,177.41
10/02/17 23:35,177.41
10/02/17 23:40,177.41
10/02/17 23:45,177.41
10/02/17 23:50,177.41
10/02/17 23:55,177.41
11/02/17 0:00,124.88
11/02/17 0:05,124.88
11/02/17 0:10,124.88
11/02/17 0:15,124.88
11/02/17 0:20,124.88
11/02/17 0:25,124.88
11/02/17 0:30,150.51
11/02/17 0:35,150.51
11/02/17 0:40,150.51
11/02/17 0:45,150.51
11/02/17 0:50,150.51
11/02/17 0:55,150.51
11/02/17 1:00,171.86
11/02/17 1:05,171.86
11/02/17 1:10,171.86
11/02/17 1:15,171.86
11/02/17 1:20,171.86
11/02/17 1:25,171.86
11/02/17 1:30,199.99
11/02/17 1:35,199.99
11/02/17 1:40,199.99
11/02/17 1:45,199.99
11/02/17 1:50,199.99
11/02/17 1:55,199.99
11/02/17 2:00,188
11/02/17 2:05,188
11/02/17 2:10,188
11/02/17 2:15,188
11/02/17 2:20,188
11/02/17 2:25,188
11/02/17 2:30,192.87
11/02/17 2:35,192.87
11/02/17 2:40,192.87
11/02/17 2:45,192.87
11/02/17 2:50,192.87
11/02/17 2:55,192.87
11/02/17 3:00,143.05
11/02/17 3:05,143.05
11/02/17 3:10,143.05
11/02/17 3:15,143.05
11/02/17 3:20,143.05
11/02/17 3:25,143.05
11/02/17 3:30,112.53
11/02/17 3:35,112.53
11/02/17 3:40,112.53
11/02/17 3:45,112.53
11/02/17 3:50,112.53
11/02/17 3:55,112.53
11/02/17 4:00,134.73
11/02/17 4:05,134.73
11/02/17 4:10,134.73
11/02/17 4:15,134.73
11/02/17 4:20,134.73
11/02/17 4:25,134.73
11/02/17 4:30,111.17
11/02/17 4:35,111.17
11/02/17 4:40,111.17
11/02/17 4:45,111.17
11/02/17 4:50,111.17
11/02/17 4:55,111.17
11/02/17 5:00,111.31
11/02/17 5:05,111.31
11/02/17 5:10,111.31
11/02/17 5:15,111.31
11/02/17 5:20,111.31
11/02/17 5:25,111.31
11/02/17 5:30,87.82
11/02/17 5:35,87.82
11/02/17 5:40,87.82
11/02/17 5:45,87.82
11/02/17 5:50,87.82
11/02/17 5:55,87.82
11/02/17 6:00,95.52
11/02/17 6:05,95.52
11/02/17 6:10,95.52
11/02/17 6:15,95.52
11/02/17 6:20,95.52
11/02/17 6:25,95.52
11/02/17 6:30,116.19
11/02/17 6:35,116.19
11/02/17 6:40,116.19
11/02/17 6:45,116.19
11/02/17 6:50,116.19
11/02/17 6:55,116.19
11/02/17 7:00,141.63
11/02/17 7:05,141.63
11/02/17 7:10,141.63
11/02/17 7:15,141.63
11/02/17 7:20,141.63
11/02/17 7:25,141.63
11/02/17 7:30,126.69
11/02/17 7:35,126.69
11/02/17 7:40,126.69
11/02/17 7:45,126.69
11/02/17 7:50,126.69
11/02/17 7:55,126.69
11/02/17 8:00,149.55
11/02/17 8:05,149.55
11/02/17 8:10,149.55
11/02/17 8:15,149.55
11/02/17 8:20,149.55
11/02/17 8:25,149.55
11/02/17 8:30,170.5
11/02/17 8:35,170.5
11/02/17 8:40,170.5
11/02/17 8:45,170.5
11/02/17 8:50,170.5
11/02/17 8:55,170.5
11/02/17 9:00,173.94
11/02/17 9:05,173.94
11/02/17 9:10,173.94
11/02/17 9:15,173.94
11/02/17 9:20,173.94
11/02/17 9:25,173.94
11/02/17 9:30,219.97
11/02/17 9:35,219.97
11/02/17 9:40,219.97
11/02/17 9:45,219.97
11/02/17 9:50,219.97
11/02/17 9:55,219.97
11/02/17 10:00,219.76
11/02/17 10:05,219.76
11/02/17 10:10,219.76
11/02/17 10:15,219.76
11/02/17 10:20,219.76
11/02/17 10:25,219.76
11/02/17 10:30,242.64
11/02/17 10:35,242.64
